Var1,Var2,Var3,Var4,Var5
2,14,0.496094809815805,0.0605478629227255,0.866154660536622
2,15,0.496208424165928,0.00445495480681514,0.868192002476662
2,16,0.489246814550397,-0.0503196016468362,0.870692535940439
2,17,0.481797301370498,-0.102723780650034,0.87024087773505
2,18,0.487704921816165,-0.159682686568796,0.858280460482738
2,19,0.492899615572836,-0.209042634249307,0.844601175723939
2,20,0.493152718987756,-0.260502370075465,0.830023439994347
2,21,0.488084870721213,-0.312172369227274,0.815059243775621
2,22,0.479306458441531,-0.360313969247854,0.800274429468475
2,23,0.476501913852744,-0.409477412785639,0.777993685394073
2,24,0.480991836011271,-0.460863157342631,0.745823037921656
2,25,0.491546958016902,-0.514835298513984,0.70237184131224
2,26,0.505009289576935,-0.568509153222052,0.64943279878964
2,27,0.510060498045734,-0.625746457389829,0.59015223408661
2,28,0.507399067456295,-0.685713652656798,0.52186489909224
2,29,0.497815324288366,-0.744990718253169,0.444036859528909
2,30,0.480606832687702,-0.801236037763087,0.356423742424106
2,31,0.45544032680025,-0.851739987565755,0.259061966150127
3,0,0.401993717014063,0.732893181223586,0.548879437032568
3,1,0.41000975792373,0.697514217002937,0.587678411621614
3,2,0.418400675576555,0.659284575616215,0.6247277191158
3,3,0.426711683514737,0.618323391571609,0.659994941334705
3,4,0.430891106870693,0.571067776674124,0.698723442045723
3,5,0.419510397833578,0.511245069367866,0.750092997671995
3,6,0.427430193672533,0.464277718904003,0.775725227942444
3,7,0.432738526688526,0.418470780344741,0.798510847463645
3,8,0.433313132022901,0.372792981380684,0.820527344242594
3,9,0.432546672020945,0.318454143243624,0.843498864951562
3,10,0.423875888154514,0.263662930868419,0.866493560464875
3,11,0.421794509418995,0.210398594430372,0.881942074790467
3,12,0.419659751815188,0.156408998123463,0.894103974944989
3,13,0.424758639539417,0.104018644500095,0.899310969427698
3,14,0.435351777416951,0.0481766483788588,0.898970433579927
3,15,0.436938334537509,-0.0068432535596471,0.899465431071315
3,16,0.43198344344614,-0.0549574822303312,0.900205520831392
3,17,0.429383341050392,-0.101910322349735,0.897354017446278
3,18,0.435618398883438,-0.154203671263008,0.886824581483418
3,19,0.435993715563739,-0.210502366451983,0.874984704841771
3,20,0.433663001055338,-0.26125716361718,0.862369466049433
3,21,0.428106686253888,-0.309120229592161,0.849216903294797
3,22,0.422333041394645,-0.35762047404371,0.832911999367941
3,23,0.42666976056438,-0.41236478665183,0.804927448997439
3,24,0.426631366290699,-0.46574302005805,0.775286473868943
3,25,0.42504328106054,-0.518539319752195,0.741926669621885
3,26,0.43349163440431,-0.572485312670862,0.695949401664823
3,27,0.440042710263708,-0.627599203632691,0.642247345454524
3,28,0.441107062447976,-0.681162732010752,0.584330293565348
3,29,0.435971841121811,-0.733987761152733,0.520759560859766
3,30,0.420995644170401,-0.791481973436168,0.443078947045714
3,31,0.399290570295893,-0.845038255308573,0.3556365947675
4,0,0.354929338188764,0.737444933048397,0.574630433943531
4,1,0.361128798592959,0.702754511873011,0.612961733608984
4,2,0.367951574547035,0.665432066259335,0.649470402699145
4,3,0.374993274267912,0.625581021154034,0.684126033875123
4,4,0.376204055085055,0.572149200025343,0.728776921868359
4,5,0.36964921795672,0.520158011314912,0.769931879408108
4,6,0.374804903352101,0.467756446348953,0.800453116254926
4,7,0.374652630017174,0.416176775621321,0.82851209903939
4,8,0.370047125847245,0.365534101377079,0.854078418754768
4,9,0.371398555798582,0.31676745315587,0.872766574389666
4,10,0.367323723207139,0.269301093795009,0.890252887246122
4,11,0.372299789056317,0.208292084105219,0.904437546084707
4,12,0.369788321437166,0.155672221920005,0.915981853887495
4,13,0.371176446581185,0.108941140521523,0.922149593832386
4,14,0.379634485140166,0.0602262457680845,0.923174120636537
4,15,0.382712365907457,0.00977189180762684,0.923815866453925
4,16,0.378360917785332,-0.0481797828923258,0.924403442449826
4,17,0.373264878407893,-0.102616084308687,0.922032141407388
4,18,0.380178554167329,-0.148083440544483,0.912981687432857
4,19,0.383741439796466,-0.19822890447027,0.901913415365051
4,20,0.380416946954802,-0.250819372620534,0.890153126595548
4,21,0.372349505205947,-0.300986636303876,0.87793102846372
4,22,0.381524618688937,-0.352776350301906,0.854393242015601
4,23,0.385197675585668,-0.406742403716793,0.828361857971553
4,24,0.381816037794192,-0.46125163811122,0.800914127496114
4,25,0.371405942615117,-0.514909974816466,0.772609437959881
4,26,0.364303899149411,-0.566729453095332,0.738986059448216
4,27,0.369438720902605,-0.623328954551108,0.689185059266428
4,28,0.369150456201006,-0.677786010507961,0.635872679587896
4,29,0.36360167328238,-0.729310469908466,0.579568858435428
4,30,0.353270117670574,-0.777596009148877,0.520139087664788
4,31,0.341275443208591,-0.823493559908275,0.453199104867139
5,0,0.305216956538365,0.739262209241214,0.600278264998206
5,1,0.309689458269225,0.704954093514704,0.638069091457795
5,2,0.314990493539812,0.668247857182483,0.673962751456314
5,3,0.320890429327582,0.626282790960599,0.710492222415252
5,4,0.31920173247891,0.574331028613817,0.753826321876503
5,5,0.320321775022217,0.525207300137221,0.788385218233566
5,6,0.327139687021258,0.47221742745446,0.818529368064412
5,7,0.325648432832308,0.421868590530784,0.846156008379915
5,8,0.312040289309722,0.378513034995382,0.871411923366951
5,9,0.317416531092986,0.317661607609108,0.893497537120329
5,10,0.317793909099993,0.267566089190449,0.90962377896264
5,11,0.322652679319391,0.20864590663375,0.923234604081215
5,12,0.319130787206027,0.153499088723936,0.935197075710881
5,13,0.317259869858332,0.108092294628559,0.94215828331518
5,14,0.325802889390282,0.055151456073914,0.943827735425205
5,15,0.328429428326271,0.00155039906892628,0.94452723987824
5,16,0.323731963199195,-0.050897007569708,0.944778868637336
5,17,0.319675398431914,-0.0973035970998003,0.942517718469439
5,18,0.319330585195522,-0.143999791608433,0.936638690945134
5,19,0.32492295007331,-0.193632993889079,0.925705860515752
5,20,0.322242221892823,-0.245620582317118,0.914237649614025
5,21,0.317131015709124,-0.310295450509599,0.896183380937375
5,22,0.330110909697081,-0.357546626404364,0.873605859209875
5,23,0.331256726838797,-0.411256392681241,0.849197951247446
5,24,0.327193033095671,-0.463740588179877,0.82334038281153
5,25,0.317064056255448,-0.515156353109851,0.796294114056735
5,26,0.307578138880231,-0.563381078577597,0.766809916983157
5,27,0.311586772323714,-0.613379784524648,0.725726479639117
5,28,0.311466433647026,-0.663883432482046,0.679887820737406
5,29,0.30662321729077,-0.711094057967841,0.632714345768362
5,30,0.297704682235092,-0.757963717551325,0.580398936121594
5,31,0.290745940779,-0.833443562149108,0.469934704648145
6,0,0.253661829159685,0.737613201918702,0.625765483853658
6,1,0.256579741242235,0.703332843439052,0.662940229375172
6,2,0.260485918449388,0.66689208630533,0.698141841972606
6,3,0.265160598053614,0.62058397031845,0.737946741319209
6,4,0.263784166102308,0.574536827379765,0.77480665181586
6,5,0.27101824335577,0.524854540702676,0.80689331566951
6,6,0.276546674253699,0.473396870409779,0.836311748121145
6,7,0.268939541496027,0.427252222244728,0.863207426756077
6,8,0.257971487845635,0.381467132995943,0.887656204790213
6,9,0.260571231496698,0.324092351178778,0.909432120184737
6,10,0.262502218425368,0.266065616965209,0.927524486356389
